Year,Month,Day,Hour,Minute,Forecast,CI 0.25,CI .75,Actual
2017,4,14,0,0,2.874425634,1.588064071,4.86033807,3.9433333
2017,4,14,0,15,2.860955361,1.588064071,5.308112834,3.2516667
2017,4,14,0,30,2.874425634,1.588064071,5.170330903,4.06
2017,4,14,0,45,2.874425634,1.588064071,4.471585704,3.4583333
2017,4,14,1,0,2.215979704,1.588064071,4.115930746,2.205
2017,4,14,1,15,1.987575093,1.588064071,4.115930746,1.8616667
2017,4,14,1,30,2.426738197,1.588064071,4.115930746,2.5016667
2017,4,14,1,45,2.977866135,1.985687868,4.453544908,3.2866667
2017,4,14,2,0,2.938109187,1.985687868,4.453544908,3.29
2017,4,14,2,15,3.155497508,1.985687868,5.675619799,3.6566667
2017,4,14,2,30,3.087441017,1.985687868,5.541814444,3.53
2017,4,14,2,45,3.045948273,1.985687868,5.466107716,3.5383333
2017,4,14,3,0,3.287230361,1.985687868,5.943266939,3.9666667
2017,4,14,3,15,3.336628428,1.985687868,6.032725469,3.99
2017,4,14,3,30,2.813593968,1.985687868,4.453544908,2.9483333
2017,4,14,3,45,3.128469604,1.985687868,5.615868249,3.6983333
2017,4,14,4,0,3.130429244,2.39114951,5.24423504,3.01
2017,4,14,4,15,2.706914062,2.257907643,5.24423504,2.24
2017,4,14,4,30,2.700259147,1.475848267,5.24423504,1.3866667
2017,4,14,4,45,3.493085316,2.39114951,5.24423504,3.4166667
2017,4,14,5,0,2.700259147,1.666212539,5.24423504,1.585
2017,4,14,5,15,2.700259147,1.475848267,5.24423504,0.6166667
2017,4,14,5,30,2.841523188,2.39114951,5.24423504,2.61
2017,4,14,5,45,2.744935322,1.588064071,4.115930746,3.0483333
2017,4,14,6,0,2.244674545,1.588064071,4.115930746,2.2333333
2017,4,14,6,15,1.819108761,1.340944802,4.115930746,1.2766667
2017,4,14,6,30,2.000479829,1.588064071,4.115930746,1.89
2017,4,14,6,45,1.819108761,1.386959763,4.115930746,1.415
2017,4,14,7,0,1.819108761,1.060528955,4.115930746,1.0333333
2017,4,14,7,15,1.819108761,1.210527841,4.115930746,1.2266667
2017,4,14,7,30,1.819108761,1.463756733,4.115930746,1.4616667
2017,4,14,7,45,2.394243638,1.985687868,4.453544908,2.4683333
2017,4,14,8,0,2.78883334,1.985687868,4.453544908,2.9466667
2017,4,14,8,15,2.863871069,1.985687868,4.453544908,3.0683333
2017,4,14,8,30,2.717307491,1.985687868,4.453544908,2.8383333
2017,4,14,8,45,2.765050906,1.985687868,4.453544908,2.86
2017,4,14,9,0,2.601805614,1.985687868,4.453544908,2.6583333
2017,4,14,9,15,2.85157334,1.985687868,4.453544908,3.0116667
2017,4,14,9,30,2.159907971,1.81566772,4.453544908,1.8283333
2017,4,14,9,45,2.700259147,1.558036157,5.24423504,1.5016667
2017,4,14,10,0,2.700259147,1.475848267,5.24423504,0.64
2017,4,14,10,15,2.700259147,1.475848267,5.24423504,1.38
2017,4,14,10,30,2.700259147,1.475848267,5.24423504,1.3283333
2017,4,14,10,45,3.400486522,2.39114951,5.24423504,3.49
2017,4,14,11,0,3.416215899,2.39114951,5.24423504,3.4033333
2017,4,14,11,15,3.701276779,2.39114951,5.24423504,3.9583333
2017,4,14,11,30,3.790863508,2.39114951,5.24423504,4.035
2017,4,14,11,45,2.874425634,1.588064071,5.617920994,6.5183333
2017,4,14,12,0,2.874425634,1.588064071,5.617920994,5.0966667
2017,4,14,12,15,2.874425634,1.588064071,5.000044691,3.9833333
2017,4,14,12,30,2.874425634,1.588064071,4.741980656,3.7066667
2017,4,14,12,45,2.118486924,1.588064071,4.115930746,2.05
2017,4,14,13,0,2.07191844,1.588064071,4.115930746,2.0216667
2017,4,14,13,15,1.857800092,1.588064071,4.115930746,1.6033333
2017,4,14,13,30,2.964003401,2.588064071,6,1.8233333
2017,4,14,13,45,3.895283561,3.588064071,13,1.655
2017,4,14,14,0,12.15990797,4,14.45354491,1.7366667
2017,4,14,14,15,13.24809025,12.98568787,15.45354491,2.1166667
2017,4,14,14,30,14.28821933,13.98568787,16.45354491,3.2
2017,4,14,14,45,15.19426272,14.98568787,17.45354491,3.9783333
2017,4,14,15,0,16.83874735,15.98568787,18.45354491,13.1666667
2017,4,14,15,15,18.3727644,16.98568787,22.68861213,22.545
2017,4,14,15,30,19.3727644,17.98568787,23.68861213,19.8966667
2017,4,14,15,45,20.98620149,19.39114951,24.45296831,20.1983333
2017,4,14,16,0,21.26843531,20.39114951,23.24423504,17.1733333
2017,4,14,16,15,21.70025915,11,24.24423504,16.8416667
2017,4,14,16,30,23.45991808,10,25.24423504,19.505
2017,4,14,16,45,10.87843113,3,25,21.295
2017,4,14,17,0,3.941814552,2.39114951,12,22.4316667
2017,4,14,17,15,3.650186356,2.39114951,5.24423504,22.8433333
2017,4,14,17,30,3.986201489,2.39114951,6.795922345,25.7633333
2017,4,14,17,45,2.874425634,1.588064071,5.617920994,11.7466667
2017,4,14,18,0,2.874425634,1.588064071,5.617920994,4.5866667
2017,4,14,18,15,2.234802007,1.588064071,4.115930746,2.145
2017,4,14,18,30,1.919372025,1.588064071,4.115930746,1.7683333
2017,4,14,18,45,2.059604928,1.588064071,4.115930746,2.005
2017,4,14,19,0,1.885675443,1.588064071,4.115930746,1.6033333
2017,4,14,19,15,1.819108761,1.502164026,4.115930746,1.52
2017,4,14,19,30,1.91089177,1.588064071,4.115930746,1.6833333
2017,4,14,19,45,2.159907971,1.509924284,4.453544908,1.44
2017,4,14,20,0,2.159907971,1.509924284,4.453544908,1.4233333
2017,4,14,20,15,2.224130434,1.985687868,4.453544908,2.1066667
2017,4,14,20,30,2.620011268,1.985687868,4.453544908,2.6216667
2017,4,14,20,45,2.753458382,1.985687868,4.453544908,2.8583333
2017,4,14,21,0,2.717307491,1.985687868,4.453544908,2.8466667
2017,4,14,21,15,3.247355035,1.985687868,4.856771982,3.8116667
2017,4,14,21,30,3.372764403,1.985687868,5.988645392,5.2
2017,4,14,21,45,3.986201489,2.39114951,7.452968313,7.6516667
2017,4,14,22,0,3.986201489,2.39114951,7.452968313,8.3066667
2017,4,14,22,15,3.960961065,2.39114951,5.448055168,4.3316667
2017,4,14,22,30,3.122110829,2.39114951,5.24423504,3.1466667
2017,4,14,22,45,3.986201489,2.39114951,5.705363573,4.6583333
2017,4,14,23,0,3.80435097,2.39114951,5.24423504,4.15
2017,4,14,23,15,3.986201489,2.39114951,5.619273101,4.5733333
2017,4,14,23,30,2.700259147,1.725523041,5.24423504,1.6316667
2017,4,14,23,45,1.819108761,1.15013974,4.115930746,1.1983333
2017,4,14,24,0,2.653329841,1.588064071,4.115930746,2.9533333
