Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,5.268,0.8160000000000001
2012,11,1,0,5,5.198,0.782
2012,11,1,0,10,5.109,0.74
2012,11,1,0,15,5.002,0.6880000000000001
2012,11,1,0,20,4.8870000000000005,0.632
2012,11,1,0,25,4.795,0.587
2012,11,1,0,30,4.713,0.548
2012,11,1,0,35,4.618,0.502
2012,11,1,0,40,4.505,0.447
2012,11,1,0,45,4.505,0.447
2012,11,1,0,50,4.597,0.492
2012,11,1,0,55,4.697,0.542
2012,11,1,1,0,4.798,0.591
2012,11,1,1,5,4.926,0.655
2012,11,1,1,10,5.091,0.736
2012,11,1,1,15,5.381,0.879
2012,11,1,1,20,5.484,0.932
2012,11,1,1,25,5.497,0.9420000000000001
2012,11,1,1,30,5.649,1.052
2012,11,1,1,35,5.881,1.218
2012,11,1,1,40,6.314,1.528
2012,11,1,1,45,6.748,1.887
2012,11,1,1,50,7.019,2.1550000000000002
2012,11,1,1,55,7.199,2.333
2012,11,1,2,0,7.364,2.495
2012,11,1,2,5,7.492,2.622
2012,11,1,2,10,7.569,2.697
2012,11,1,2,15,7.636,2.763
2012,11,1,2,20,7.7090000000000005,2.848
2012,11,1,2,25,7.785,2.947
2012,11,1,2,30,7.8580000000000005,3.0420000000000003
2012,11,1,2,35,7.928,3.133
2012,11,1,2,40,8.005,3.232
2012,11,1,2,45,8.072000000000001,3.319
2012,11,1,2,50,8.114,3.375
2012,11,1,2,55,8.145,3.414
2012,11,1,3,0,8.179,3.457
2012,11,1,3,5,8.237,3.533
2012,11,1,3,10,8.325,3.649
2012,11,1,3,15,8.401,3.749
2012,11,1,3,20,8.493,3.869
2012,11,1,3,25,8.722,4.17
2012,11,1,3,30,9.0,4.611
2012,11,1,3,35,9.125,4.816
2012,11,1,3,40,9.228,4.985
2012,11,1,3,45,9.463000000000001,5.37
2012,11,1,3,50,9.802,5.925
2012,11,1,3,55,10.177,6.612
2012,11,1,4,0,10.562,7.332
2012,11,1,4,5,10.892,7.95
2012,11,1,4,10,11.09,8.301
2012,11,1,4,15,11.191,8.475
2012,11,1,4,20,11.294,8.653
2012,11,1,4,25,11.435,8.894
2012,11,1,4,30,11.606,9.186
2012,11,1,4,35,11.783,9.49
2012,11,1,4,40,11.917,9.722
2012,11,1,4,45,11.99,9.85
2012,11,1,4,50,12.024000000000001,9.91
2012,11,1,4,55,12.067,9.97
2012,11,1,5,0,12.143,10.054
2012,11,1,5,5,12.265,10.187
2012,11,1,5,10,12.424,10.36
2012,11,1,5,15,12.585,10.535
2012,11,1,5,20,12.677,10.635
2012,11,1,5,25,12.695,10.655
2012,11,1,5,30,12.726,10.687
2012,11,1,5,35,12.851,10.819
2012,11,1,5,40,13.037,11.016
2012,11,1,5,45,13.19,11.148
2012,11,1,5,50,13.251,11.182
2012,11,1,5,55,13.254,11.183
2012,11,1,6,0,13.229000000000001,11.171
2012,11,1,6,5,13.257,11.188
2012,11,1,6,10,13.318,11.223
2012,11,1,6,15,13.373000000000001,11.255
2012,11,1,6,20,13.431000000000001,11.288
2012,11,1,6,25,13.501,11.328
2012,11,1,6,30,13.571,11.368
2012,11,1,6,35,13.608,11.389000000000001
2012,11,1,6,40,13.614,11.393
2012,11,1,6,45,13.620000000000001,11.397
2012,11,1,6,50,13.651,11.414
2012,11,1,6,55,13.644,11.411
2012,11,1,7,0,13.666,11.423
2012,11,1,7,5,13.724,11.456
2012,11,1,7,10,13.794,11.495000000000001
2012,11,1,7,15,13.831,11.516
2012,11,1,7,20,13.846,11.525
2012,11,1,7,25,13.852,11.529
2012,11,1,7,30,13.815,11.508000000000001
2012,11,1,7,35,13.751,11.472
2012,11,1,7,40,13.614,11.395
2012,11,1,7,45,13.364,11.258000000000001
2012,11,1,7,50,13.077,11.083
2012,11,1,7,55,12.879,10.871
2012,11,1,8,0,12.747,10.731
2012,11,1,8,5,12.705,10.685
2012,11,1,8,10,12.68,10.659
2012,11,1,8,15,12.631,10.605
2012,11,1,8,20,12.558,10.525
2012,11,1,8,25,12.476,10.437
2012,11,1,8,30,12.351,10.305
2012,11,1,8,35,12.189,10.133000000000001
2012,11,1,8,40,12.039,9.974
2012,11,1,8,45,11.939,9.82
2012,11,1,8,50,11.884,9.725
2012,11,1,8,55,11.823,9.619
2012,11,1,9,0,11.74,9.478
2012,11,1,9,5,11.621,9.274000000000001
2012,11,1,9,10,11.447000000000001,8.978
2012,11,1,9,15,11.219,8.59
2012,11,1,9,20,10.977,8.182
2012,11,1,9,25,10.794,7.849
2012,11,1,9,30,10.691,7.6530000000000005
2012,11,1,9,35,10.636000000000001,7.547000000000001
2012,11,1,9,40,10.605,7.488
2012,11,1,9,45,10.559000000000001,7.4
2012,11,1,9,50,10.495000000000001,7.2780000000000005
2012,11,1,9,55,10.422,7.141
2012,11,1,10,0,10.327,6.964
2012,11,1,10,5,10.187,6.7010000000000005
2012,11,1,10,10,10.083,6.507000000000001
2012,11,1,10,15,10.043000000000001,6.432
2012,11,1,10,20,10.043000000000001,6.431
2012,11,1,10,25,10.007,6.36
2012,11,1,10,30,9.943,6.239
2012,11,1,10,35,9.854000000000001,6.073
2012,11,1,10,40,9.769,5.9270000000000005
2012,11,1,10,45,9.717,5.843
2012,11,1,10,50,9.677,5.779
2012,11,1,10,55,9.634,5.71
2012,11,1,11,0,9.564,5.596
2012,11,1,11,5,9.46,5.4270000000000005
2012,11,1,11,10,9.351,5.247
2012,11,1,11,15,9.259,5.098
2012,11,1,11,20,9.174,4.957
2012,11,1,11,25,9.064,4.776
2012,11,1,11,30,8.957,4.6000000000000005
2012,11,1,11,35,8.929,4.556
2012,11,1,11,40,8.963000000000001,4.612
2012,11,1,11,45,8.978,4.639
2012,11,1,11,50,8.905,4.521
2012,11,1,11,55,8.826,4.392
2012,11,1,12,0,8.749,4.268
2012,11,1,12,5,8.627,4.101
2012,11,1,12,10,8.49,3.9210000000000003
2012,11,1,12,15,8.383000000000001,3.781
2012,11,1,12,20,8.301,3.673
2012,11,1,12,25,8.221,3.569
2012,11,1,12,30,8.136000000000001,3.457
2012,11,1,12,35,8.063,3.361
2012,11,1,12,40,8.008000000000001,3.289
2012,11,1,12,45,7.926,3.18
2012,11,1,12,50,7.806,3.024
2012,11,1,12,55,7.694,2.875
2012,11,1,13,0,7.614,2.777
2012,11,1,13,5,7.5680000000000005,2.732
2012,11,1,13,10,7.5440000000000005,2.708
2012,11,1,13,15,7.559,2.723
2012,11,1,13,20,7.605,2.769
2012,11,1,13,25,7.675,2.854
2012,11,1,13,30,7.757000000000001,2.963
2012,11,1,13,35,7.828,3.057
2012,11,1,13,40,7.883,3.13
2012,11,1,13,45,7.941,3.207
2012,11,1,13,50,7.974,3.2520000000000002
2012,11,1,13,55,7.993,3.277
2012,11,1,14,0,8.041,3.341
2012,11,1,14,5,8.078,3.39
2012,11,1,14,10,8.093,3.41
2012,11,1,14,15,8.093,3.411
2012,11,1,14,20,8.069,3.38
2012,11,1,14,25,7.9990000000000006,3.289
2012,11,1,14,30,7.883,3.138
2012,11,1,14,35,7.596,2.771
2012,11,1,14,40,7.349,2.5260000000000002
2012,11,1,14,45,7.126,2.305
2012,11,1,14,50,6.769,1.95
2012,11,1,14,55,6.601,1.7830000000000001
2012,11,1,15,0,6.494,1.685
2012,11,1,15,5,6.485,1.679
2012,11,1,15,10,6.446,1.649
2012,11,1,15,15,6.305,1.547
2012,11,1,15,20,6.049,1.362
2012,11,1,15,25,5.811,1.19
2012,11,1,15,30,5.643,1.068
2012,11,1,15,35,5.396,0.9
2012,11,1,15,40,5.207,0.806
2012,11,1,15,45,5.023,0.715
2012,11,1,15,50,4.825,0.617
2012,11,1,15,55,4.541,0.47600000000000003
2012,11,1,16,0,4.2940000000000005,0.366
2012,11,1,16,5,4.178,0.33
2012,11,1,16,10,4.117,0.311
2012,11,1,16,15,4.0920000000000005,0.303
2012,11,1,16,20,4.126,0.313
2012,11,1,16,25,4.166,0.325
2012,11,1,16,30,4.1930000000000005,0.333
2012,11,1,16,35,4.263,0.355
2012,11,1,16,40,4.275,0.358
2012,11,1,16,45,4.248,0.34900000000000003
2012,11,1,16,50,4.266,0.355
2012,11,1,16,55,4.312,0.368
2012,11,1,17,0,4.37,0.386
2012,11,1,17,5,4.44,0.419
2012,11,1,17,10,4.486,0.441
2012,11,1,17,15,4.526,0.46
