SiteID, 42278.0
Longitude, -98.245819
Latitude, 38.864048
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,0.9490000000000001,0.0
2012,11,1,0,5,0.921,0.0
2012,11,1,0,10,0.888,0.0
2012,11,1,0,15,0.842,0.0
2012,11,1,0,20,0.802,0.0
2012,11,1,0,25,0.756,0.0
2012,11,1,0,30,0.677,0.0
2012,11,1,0,35,0.592,0.0
2012,11,1,0,40,0.579,0.0
2012,11,1,0,45,0.552,0.0
2012,11,1,0,50,0.534,0.0
2012,11,1,0,55,0.5640000000000001,0.0
2012,11,1,1,0,0.668,0.0
2012,11,1,1,5,0.796,0.0
2012,11,1,1,10,0.9390000000000001,0.0
2012,11,1,1,15,1.074,0.0
2012,11,1,1,20,1.159,0.0
2012,11,1,1,25,1.232,0.0
2012,11,1,1,30,1.324,0.0
2012,11,1,1,35,1.419,0.0
2012,11,1,1,40,1.547,0.0
2012,11,1,1,45,1.678,0.0
2012,11,1,1,50,1.797,0.0
2012,11,1,1,55,1.895,0.0
2012,11,1,2,0,1.989,0.0
2012,11,1,2,5,2.108,0.0
2012,11,1,2,10,2.23,0.005
2012,11,1,2,15,2.307,0.011
2012,11,1,2,20,2.328,0.012
2012,11,1,2,25,2.325,0.012
2012,11,1,2,30,2.307,0.011
2012,11,1,2,35,2.359,0.015
2012,11,1,2,40,2.4170000000000003,0.019
2012,11,1,2,45,2.465,0.023
2012,11,1,2,50,2.481,0.024
2012,11,1,2,55,2.52,0.027
2012,11,1,3,0,2.56,0.03
2012,11,1,3,5,2.6,0.033
2012,11,1,3,10,2.618,0.035
2012,11,1,3,15,2.587,0.032
2012,11,1,3,20,2.545,0.029
2012,11,1,3,25,2.508,0.026000000000000002
2012,11,1,3,30,2.511,0.026000000000000002
2012,11,1,3,35,2.539,0.029
2012,11,1,3,40,2.539,0.029
2012,11,1,3,45,2.569,0.031
2012,11,1,3,50,2.636,0.036000000000000004
2012,11,1,3,55,2.685,0.04
2012,11,1,4,0,2.728,0.043000000000000003
2012,11,1,4,5,2.786,0.048
2012,11,1,4,10,2.835,0.051000000000000004
2012,11,1,4,15,2.865,0.054
2012,11,1,4,20,2.89,0.056
2012,11,1,4,25,2.96,0.061
2012,11,1,4,30,3.0700000000000003,0.069
2012,11,1,4,35,3.192,0.079
2012,11,1,4,40,3.326,0.129
2012,11,1,4,45,3.442,0.192
2012,11,1,4,50,3.549,0.251
2012,11,1,4,55,3.616,0.28800000000000003
